code,name,reason,geoname_ids
CNFOC,Fuzhou Changle International Apt,conflicting or missing match,6301381;11494342;12196022
CNFZG,Fuzhou Pt,conflicting or missing match,2037423
CNFZX,Fuzhouxingang,no explicit link,
CNGQD,Ganqmod,no explicit link,
CNKOW,Ganzhou Huangjin Apt,conflicting or missing match,6301382
CNGBG,Guanbu Pt,no explicit link,
CNLHK,Guanghua,conflicting or missing match,7731221
CNGYS,Guangyuan Panlong Apt,conflicting or missing match,7730301
CNCAN,Guangzhou Baiyun International Apt,conflicting or missing match,6301359;12149062
CNGZC,Guangzhouchuanchang,no explicit link,
CNGUZ,Guangzhoudong Railway Station,no explicit link,
